"DOClass"	"Disease"	"DiseaseClass"	"EvidenceIndexGDA"	"EvidenceLevelGDA"	"FirstRef"	"Gene"	"GeneDPI"	"GeneDSI"	"GeneFullName"	"GenePLI"	"HPOClass"	"LastRef"	"NumDiseasesAssociatedToGene"	"NumGenesDisease"	"NumPMIDs"	"NumVariantsAssociatedToGene"	"NumVariantsDisease"	"NumVariantsGDA"	"PathwayIDs"	"PathwayNames"	"ProteinClass"	"ScoreGDA"	"SemanticType"	"Type"	"UnitProt"	"diseaseUMLSCUI"	"geneEnsemblIDs"	"geneNcbiID"	"geneNcbiType"	"numCTs"	"numChemsIncludedInEvidences"	"numPMIDSWithChemsIncludedInEvidences"
"disease of anatomical entity (7)"	"Crohn's disease of large bowel"	"Digestive System Diseases"	"1.0"	""	"2007"	"NCF4"	"0.79"	"0.6"	"neutrophil cytosolic factor 4"	"2.8344E-8"	""	"2007"	"5"	"78"	"1"	"118"	"0"	"0"	"R-HSA-162582,R-HSA-168256,R-HSA-8953897"	"Signal Transduction,Immune System,Cellular responses to stimuli"	""	"0.6"	"Disease or Syndrome (T047)"	"disease"	"Q15080"	"C0156147"	"ENSG00000100365"	"4689"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Crohn's disease of large bowel"	"Digestive System Diseases"	"1.0"	""	"2011"	"NR1H4"	"0.88"	"0.46"	"nuclear receptor subfamily 1 group H member 4"	"0.66513"	""	"2011"	"20"	"78"	"1"	"9"	"0"	"0"	"R-HSA-74160"	"Gene expression (Transcription)"	"Nuclear receptor"	"0.6"	"Disease or Syndrome (T047)"	"disease"	"Q96RI1,F1DAL1,B6ZGS9"	"C0156147"	"ENSG00000012504"	"9971"	"protein-coding"	"0"	"1"	"1"
"disease of anatomical entity (7)"	"Crohn's disease of large bowel"	"Digestive System Diseases"	"1.0"	""	"2001"	"NOD2"	"0.83"	"0.42"	"nucleotide binding oligomerization domain containing 2"	"2.2667E-22"	""	"2023"	"58"	"78"	"9"	"441"	"0"	"0"	"R-HSA-1643685,R-HSA-168256,R-HSA-392499"	"Disease,Immune System,Metabolism of proteins"	"Enzyme"	"0.6"	"Disease or Syndrome (T047)"	"disease"	"Q9HC29,A0A286YF65"	"C0156147"	"ENSG00000167207"	"64127"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Crohn's disease of large bowel"	"Digestive System Diseases"	"1.0"	""	""	"STAT3"	"0.88"	"0.32"	"signal transducer and activator of transcription 3"	"1.0"	""	""	"97"	"78"	"0"	"218"	"0"	"0"	""	""	"Nucleic acid binding"	"0.6"	"Disease or Syndrome (T047)"	"disease"	"A0A7I2V395,P40763"	"C0156147"	"ENSG00000168610"	"6774"	"protein-coding"	"0"	"2"	"1"
"disease of anatomical entity (7)"	"Crohn's disease of large bowel"	"Digestive System Diseases"	"1.0"	""	"2007"	"IL23R"	"0.88"	"0.46"	"interleukin 23 receptor"	"0.0015362"	""	"2008"	"33"	"78"	"2"	"35"	"0"	"0"	"R-HSA-168256"	"Immune System"	"Signaling"	"0.55"	"Disease or Syndrome (T047)"	"disease"	"Q5VWK5"	"C0156147"	"ENSG00000162594"	"149233"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Crohn's disease of large bowel"	"Digestive System Diseases"	"1.0"	""	""	"BPI"	"0.83"	"0.56"	"bactericidal permeability increasing protein"	"1.4557E-13"	""	""	"1"	"78"	"0"	"2"	"0"	"0"	"R-HSA-168256"	"Immune System"	""	"0.55"	"Disease or Syndrome (T047)"	"disease"	"P17213"	"C0156147"	"ENSG00000101425"	"671"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Crohn's disease of large bowel"	"Digestive System Diseases"	"1.0"	""	""	"ICAM1"	"0.92"	"0.33"	"intercellular adhesion molecule 1"	"1.834E-6"	""	""	"61"	"78"	"0"	"7"	"0"	"0"	"R-HSA-1474244,R-HSA-168256"	"Extracellular matrix organization,Immune System"	""	"0.55"	"Disease or Syndrome (T047)"	"disease"	"A0A384MEK5,P05362"	"C0156147"	"ENSG00000090339"	"3383"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Crohn's disease of large bowel"	"Digestive System Diseases"	"1.0"	""	"2010"	"FUT2"	"0.83"	"0.53"	"fucosyltransferase 2 (H blood group)"	"0.032245"	""	"2010"	"6"	"78"	"1"	"18"	"0"	"0"	"R-HSA-1430728"	"Metabolism"	"Enzyme"	"0.5"	"Disease or Syndrome (T047)"	"disease"	"Q10981,A8K2L2"	"C0156147"	"ENSG00000176920"	"2524"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Crohn's disease of large bowel"	"Digestive System Diseases"	"1.0"	""	"2006"	"SLC11A1"	"0.88"	"0.47"	"solute carrier family 11 member 1"	"2.7796E-16"	""	"2006"	"40"	"78"	"1"	"3"	"0"	"0"	"R-HSA-168256,R-HSA-382551"	"Immune System,Transport of small molecules"	"Transporter"	"0.5"	"Disease or Syndrome (T047)"	"disease"	"P49279"	"C0156147"	"ENSG00000018280"	"6556"	"protein-coding"	"0"	"0"	"0"
"disease of anatomical entity (7)"	"Crohn's disease of large bowel"	"Digestive System Diseases"	"1.0"	""	"2010"	"IL10"	"0.96"	"0.27"	"interleukin 10"	"0.48334"	""	"2010"	"127"	"78"	"1"	"38"	"0"	"0"	"R-HSA-1643685,R-HSA-168256"	"Disease,Immune System"	""	"0.5"	"Disease or Syndrome (T047)"	"disease"	"Q6FGW4,P22301"	"C0156147"	"ENSG00000136634"	"3586"	"protein-coding"	"0"	"0"	"0"
