"DOClass"	"Disease"	"DiseaseClass"	"EvidenceIndexGDA"	"EvidenceLevelGDA"	"FirstRef"	"Gene"	"GeneDPI"	"GeneDSI"	"GeneFullName"	"GenePLI"	"HPOClass"	"LastRef"	"NumDiseasesAssociatedToGene"	"NumGenesDisease"	"NumPMIDs"	"NumVariantsAssociatedToGene"	"NumVariantsDisease"	"NumVariantsGDA"	"PathwayIDs"	"PathwayNames"	"ProteinClass"	"ScoreGDA"	"SemanticType"	"Type"	"UnitProt"	"diseaseUMLSCUI"	"geneEnsemblIDs"	"geneNcbiID"	"geneNcbiType"	"numCTs"	"numChemsIncludedInEvidences"	"numPMIDSWithChemsIncludedInEvidences"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.941747572815534"	""	"2010"	"ALK"	"0.88"	"0.37"	"ALK receptor tyrosine kinase"	"3.5482E-6"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"34"	"280"	"14"	"1583"	"238"	"0"	"R-HSA-162582,R-HSA-1643685"	"Signal Transduction,Disease"	"Kinase"	"1.0"	"Neoplastic Process (T191)"	"disease"	"B6D4Y2,Q9UM73"	"C0152013"	"ENSG00000171094"	"238"	"protein-coding"	"8"	"39"	"113"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9134897360703812"	""	"1993"	"KRAS"	"0.88"	"0.29"	"KRAS proto-oncogene, GTPase"	"0.99914"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"130"	"280"	"13"	"127"	"238"	"1"	"R-HSA-109582,R-HSA-112316,R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256"	"Hemostasis,Neuronal System,Developmental Biology,Signal Transduction,Disease,Immune System"	"Enzyme modulator"	"1.0"	"Neoplastic Process (T191)"	"disease"	"L7RSL8,P01116,I1SRC5"	"C0152013"	"ENSG00000133703"	"3845"	"protein-coding"	"5"	"61"	"119"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9348295209322399"	""	"2010"	"EGFR"	"0.92"	"0.27"	"epidermal growth factor receptor"	"0.98131"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"98"	"280"	"11"	"131"	"238"	"22"	""	""	"Kinase"	"1.0"	"Neoplastic Process (T191)"	"disease"	"F2YGG7,Q504U8,C9JYS6,E7BSV0,P00533,B7Z2I3"	"C0152013"	"ENSG00000146648"	"1956"	"protein-coding"	"19"	"150"	"569"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9342105263157895"	""	"2002"	"BRAF"	"0.92"	"0.29"	"B-Raf proto-oncogene, serine/threonine kinase"	"1.0"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"115"	"280"	"9"	"278"	"238"	"6"	"R-HSA-162582,R-HSA-1643685"	"Signal Transduction,Disease"	"Kinase"	"1.0"	"Neoplastic Process (T191)"	"disease"	"P15056"	"C0152013"	"ENSG00000157764"	"673"	"protein-coding"	"3"	"20"	"31"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9393939393939394"	""	"2011"	"TP53"	"0.88"	"0.26"	"tumor protein p53"	"0.99795"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"244"	"280"	"8"	"1247"	"238"	"7"	""	""	"Transcription factor"	"1.0"	"Neoplastic Process (T191)"	"disease"	"K7PPA8,H2EHT1,P04637,A0A087WXZ1,A0A087WT22,Q53GA5,A0A087X1Q1"	"C0152013"	"ENSG00000141510"	"7157"	"protein-coding"	"1"	"19"	"35"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9606299212598425"	""	"2012"	"ROS1"	"0.88"	"0.47"	"ROS proto-oncogene 1, receptor tyrosine kinase"	"3.4313E-52"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"16"	"280"	"7"	"14"	"238"	"1"	""	""	"Kinase"	"1.0"	"Neoplastic Process (T191)"	"disease"	"P08922"	"C0152013"	"ENSG00000047936"	"6098"	"protein-coding"	"5"	"15"	"29"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9447852760736196"	""	"2004"	"ERBB2"	"0.92"	"0.3"	"erb-b2 receptor tyrosine kinase 2"	"0.059432"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2018"	"49"	"280"	"6"	"32"	"238"	"6"	"R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-74160"	"Developmental Biology,Signal Transduction,Disease,Gene expression (Transcription)"	"Kinase"	"1.0"	"Neoplastic Process (T191)"	"disease"	"P04626,X5DNK3,F5H1T4,J3QLU9"	"C0152013"	"ENSG00000141736"	"2064"	"protein-coding"	"2"	"37"	"39"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.953125"	""	"2012"	"PIK3CA"	"0.92"	"0.28"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"	"1.0"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2012"	"122"	"280"	"1"	"264"	"238"	"0"	"R-HSA-109582,R-HSA-1266738,R-HSA-1430728,R-HSA-1500931,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-8953897"	"Hemostasis,Developmental Biology,Metabolism,Cell-Cell communication,Signal Transduction,Disease,Immune System,Cellular responses to stimuli"	"Kinase"	"1.0"	"Neoplastic Process (T191)"	"disease"	"P42336,Q4LE51"	"C0152013"	"ENSG00000121879"	"5290"	"protein-coding"	"1"	"34"	"36"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9473684210526315"	""	"2012"	"MAP2K1"	"0.88"	"0.35"	"mitogen-activated protein kinase kinase 1"	"0.96688"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	"2012"	"34"	"280"	"1"	"105"	"238"	"0"	"R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256"	"Developmental Biology,Signal Transduction,Disease,Immune System"	"Kinase"	"0.9"	"Neoplastic Process (T191)"	"disease"	"B4DFY5,Q02750,A4QPA9"	"C0152013"	"ENSG00000169032"	"5604"	"protein-coding"	"1"	"6"	"9"
"disease of cellular proliferation (14566),disease of anatomical entity (7)"	"Adenocarcinoma of lung (disorder)"	"Neoplasms"	"0.9230769230769231"	""	""	"FGFR2"	"0.88"	"0.34"	"fibroblast growth factor receptor 2"	"1.0"	"Abnormality of the respiratory system (02086),Neoplasm (02664)"	""	"98"	"280"	"0"	"175"	"238"	"2"	"R-HSA-1643685"	"Disease"	"Kinase"	"0.9"	"Neoplastic Process (T191)"	"disease"	"D2CGD1,A0A141AXF1,P21802,S4R381"	"C0152013"	"ENSG00000066468"	"2263"	"protein-coding"	"1"	"2"	"2"
