"DOClass"	"Disease"	"DiseaseClass"	"EvidenceIndexGDA"	"EvidenceLevelGDA"	"FirstRef"	"Gene"	"GeneDPI"	"GeneDSI"	"GeneFullName"	"GenePLI"	"HPOClass"	"LastRef"	"NumDiseasesAssociatedToGene"	"NumGenesDisease"	"NumPMIDs"	"NumVariantsAssociatedToGene"	"NumVariantsDisease"	"NumVariantsGDA"	"PathwayIDs"	"PathwayNames"	"ProteinClass"	"ScoreGDA"	"SemanticType"	"Type"	"UnitProt"	"diseaseUMLSCUI"	"geneEnsemblIDs"	"geneNcbiID"	"geneNcbiType"	"numCTs"	"numChemsIncludedInEvidences"	"numPMIDSWithChemsIncludedInEvidences"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.9041095890410958"	""	"2008"	"IL23R"	"0.88"	"0.46"	"interleukin 23 receptor"	"0.0015362"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"33"	"76"	"3"	"35"	"660"	"12"	"R-HSA-168256"	"Immune System"	"Signaling"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"Q5VWK5"	"C0009324"	"ENSG00000162594"	"149233"	"protein-coding"	"0"	"8"	"7"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.896551724137931"	""	"2009"	"TNF"	"0.96"	"0.23"	"tumor necrosis factor"	"0.85687"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2012"	"311"	"76"	"3"	"9"	"660"	"0"	""	""	"Signaling"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"Q5STB3,P01375"	"C0009324"	"ENSG00000232810"	"7124"	"protein-coding"	"53"	"64"	"63"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.8554216867469879"	""	"2008"	"IL10"	"0.96"	"0.27"	"interleukin 10"	"0.48334"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"127"	"76"	"2"	"38"	"660"	"2"	"R-HSA-1643685,R-HSA-168256"	"Disease,Immune System"	""	"1.0"	"Disease or Syndrome (T047)"	"disease"	"Q6FGW4,P22301"	"C0009324"	"ENSG00000136634"	"3586"	"protein-coding"	"17"	"18"	"15"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.95"	""	"2010"	"JAK2"	"0.88"	"0.36"	"Janus kinase 2"	"2.2125E-6"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2011"	"62"	"76"	"2"	"28"	"660"	"1"	"R-HSA-109582,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-4839726"	"Hemostasis,Signal Transduction,Cell Cycle,Disease,Immune System,Chromatin organization"	"Kinase"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"A8K910,O60674,B4DYV1"	"C0009324"	"ENSG00000096968"	"3717"	"protein-coding"	"0"	"4"	"2"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.9565217391304348"	""	"2008"	"STAT3"	"0.88"	"0.32"	"signal transducer and activator of transcription 3"	"1.0"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"97"	"76"	"2"	"218"	"660"	"2"	""	""	"Nucleic acid binding"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"A0A7I2V395,P40763"	"C0009324"	"ENSG00000168610"	"6774"	"protein-coding"	"1"	"15"	"9"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.9545454545454546"	""	"2010"	"TNFSF15"	"0.75"	"0.54"	"TNF superfamily member 15"	"5.8255E-4"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"9"	"76"	"1"	"8"	"660"	"2"	""	""	"Signaling"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"A0A0U5JA19,O95150"	"C0009324"	"ENSG00000181634"	"9966"	"protein-coding"	"1"	"2"	"1"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.6989247311827957"	""	"2010"	"NOD2"	"0.83"	"0.42"	"nucleotide binding oligomerization domain containing 2"	"2.2667E-22"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"58"	"76"	"1"	"441"	"660"	"4"	"R-HSA-1643685,R-HSA-168256,R-HSA-392499"	"Disease,Immune System,Metabolism of proteins"	"Enzyme"	"1.0"	"Disease or Syndrome (T047)"	"disease"	"A0A286YF65,Q9HC29"	"C0009324"	"ENSG00000167207"	"64127"	"protein-coding"	"2"	"6"	"4"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.75"	""	"2022"	"CFB"	"0.88"	"0.42"	"complement factor B"	"1.4043E-10"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2022"	"25"	"76"	"1"	"64"	"660"	"1"	"R-HSA-168256"	"Immune System"	""	"0.95"	"Disease or Syndrome (T047)"	"disease"	"P00751,A0A1U9X7H8"	"C0009324"	"ENSG00000243649"	"629"	"protein-coding"	"1"	"0"	"0"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"1.0"	""	"2009"	"FCGR2A"	"0.83"	"0.45"	"Fc gamma receptor IIa"	"2.3199E-4"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2010"	"45"	"76"	"2"	"8"	"660"	"3"	"R-HSA-1643685,R-HSA-168256"	"Disease,Immune System"	"Cell adhesion"	"0.95"	"Disease or Syndrome (T047)"	"disease"	"P12318"	"C0009324"	"ENSG00000143226"	"2212"	"protein-coding"	"0"	"5"	"4"
"disease of anatomical entity (7)"	"Ulcerative Colitis"	"Digestive System Diseases"	"0.9230769230769231"	""	"2002"	"IL1B"	"0.96"	"0.27"	"interleukin 1 beta"	"0.48761"	"Abnormality of the immune system (02715),Abnormality of the digestive system (25031)"	"2012"	"162"	"76"	"4"	"4"	"660"	"0"	"R-HSA-1643685,R-HSA-168256,R-HSA-5357801"	"Disease,Immune System,Programmed Cell Death"	""	"0.9"	"Disease or Syndrome (T047)"	"disease"	"P01584"	"C0009324"	"ENSG00000125538"	"3553"	"protein-coding"	"7"	"21"	"13"
